Uniform,Gauss,SRFT,SRHT,Deterministic
3.4035571501301947,3.4246186299628696,3.4368509572331325,3.4351046778378405,3.3325577226094607
3.200371901548685,3.2261155065444442,3.2144395149936145,3.2155741622895833,3.1490958183562126
3.0260114723179385,3.017755922142731,3.0186097663726232,3.011434972249705,2.946178081123839
2.8831306878383414,2.8932536717538007,2.876575168916813,2.8848689862661105,2.8129790113844746
2.7780443836230377,2.7706681192744442,2.776423426585955,2.768069231284552,2.7049283997936513
2.6859054026659925,2.6863938096052267,2.6853485755062385,2.68620726790216,2.61719141942691
2.27454868175084,2.275793837042992,2.2830464222471756,2.2789147694798597,2.200462049431267
1.8076798394376419,1.8163302326359478,1.832472498231605,1.8233293512290871,1.741630379237927
1.0215076270773138,1.0053840416927418,1.0446803468946817,1.016044769348689,0.9342756229987994
-0.21819131625521285,-0.2325987413989022,-0.19099859061028507,-0.21867197422292897,-0.3166729375768502
